Country name,Regional indicator,Region,Ladder score,Standard error of ladder score,upperwhisker,lowerwhisker,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Ladder score in Dystopia,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia + residual
Canada,North America and ANZ,North America,7103,0.042,7185,7021,10776,0.926,73800,0.915,0.089,0.415,2430,1447,1044,0.798,0.648,0.246,0.335,2585
Ireland,Western Europe,Europe,7085,0.040,7164,7006,11342,0.947,72400,0.879,0.077,0.363,2430,1644,1092,0.753,0.606,0.238,0.367,2384
Costa Rica,Latin America and Caribbean,South America,7069,0.056,7179,6960,9880,0.891,71400,0.934,-0.126,0.809,2430,1134,0.966,0.722,0.673,0.105,0.083,3387
United Kingdom,Western Europe,Europe,7064,0.038,7138,6990,10707,0.934,72500,0.859,0.233,0.459,2430,1423,1062,0.757,0.580,0.340,0.306,2596
Czech Republic,Central and Eastern Europe,Europe,6965,0.049,7062,6868,10556,0.947,70807,0.858,-0.208,0.868,2430,1370,1090,0.703,0.580,0.052,0.046,3124
United States,North America and ANZ,North America,6951,0.049,7047,6856,11023,0.920,68200,0.837,0.098,0.698,2430,1533,1030,0.621,0.554,0.252,0.154,2807
Belgium,Western Europe,Europe,6834,0.034,6901,6767,10823,0.906,72199,0.783,-0.153,0.646,2430,1463,0.998,0.747,0.489,0.088,0.187,2862
France,Western Europe,Europe,6690,0.037,6762,6618,10704,0.942,74000,0.822,-0.147,0.571,2430,1421,1081,0.804,0.536,0.092,0.235,2521
Bahrain,Middle East and North Africa,Africa,6647,0.068,6779,6514,10669,0.862,69495,0.925,0.089,0.722,2430,1409,0.899,0.662,0.661,0.246,0.139,2631
Malta,Western Europe,Europe,6602,0.044,6688,6516,10674,0.931,72200,0.927,0.133,0.653,2430,1411,1055,0.747,0.664,0.275,0.183,2268
Taiwan Province of China,East Asia,Asia,6584,0.038,6659,6510,10871,0.898,69600,0.784,-0.070,0.721,2430,1480,0.982,0.665,0.490,0.142,0.139,2687
United Arab Emirates,Middle East and North Africa,Africa,6561,0.039,6637,6484,11085,0.844,67333,0.932,0.074,0.589,2430,1555,0.860,0.594,0.670,0.236,0.223,2422
Saudi Arabia,Middle East and North Africa,Africa,6494,0.056,6604,6384,10743,0.891,66603,0.877,-0.149,0.684,2430,1435,0.964,0.571,0.603,0.090,0.163,2668
Spain,Western Europe,Europe,6491,0.042,6574,6408,10571,0.932,74700,0.761,-0.081,0.745,2430,1375,1057,0.826,0.462,0.135,0.124,2513
Italy,Western Europe,Europe,6483,0.045,6572,6395,10623,0.880,73800,0.693,-0.084,0.866,2430,1393,0.940,0.798,0.379,0.133,0.047,2794
Slovenia,Central and Eastern Europe,Europe,6461,0.043,6546,6376,10529,0.948,71400,0.949,-0.101,0.806,2430,1360,1093,0.722,0.690,0.122,0.085,2388
Guatemala,Latin America and Caribbean,South America,6435,0.073,6577,6292,9053,0.813,64958,0.906,-0.038,0.775,2430,0.845,0.790,0.519,0.638,0.163,0.105,3375
Uruguay,Latin America and Caribbean,South America,6431,0.046,6521,6341,9966,0.925,69100,0.896,-0.092,0.590,2430,1164,1042,0.649,0.625,0.128,0.223,2600
Singapore,Southeast Asia,Asia,6377,0.043,6460,6293,11488,0.915,76953,0.927,-0.018,0.082,2430,1695,1019,0.897,0.664,0.176,0.547,1379
Kosovo,Central and Eastern Europe,Europe,6372,0.059,6487,6257,9318,0.821,63813,0.869,0.257,0.917,2430,0.937,0.807,0.483,0.593,0.356,0.014,3182
Slovakia,Central and Eastern Europe,Europe,6331,0.041,6411,6251,10369,0.936,69201,0.766,-0.124,0.911,2430,1304,1066,0.653,0.468,0.107,0.018,2714
Brazil,Latin America and Caribbean,South America,6330,0.043,6415,6245,9577,0.882,66601,0.804,-0.071,0.756,2430,1028,0.944,0.571,0.514,0.142,0.117,3015
Mexico,Latin America and Caribbean,South America,6317,0.053,6420,6213,9859,0.831,68597,0.862,-0.147,0.799,2430,1126,0.830,0.634,0.585,0.092,0.089,2961
Jamaica,Latin America and Caribbean,South America,6309,0.156,6615,6004,9186,0.877,67500,0.890,-0.137,0.884,2430,0.891,0.932,0.599,0.618,0.099,0.035,3135
Lithuania,Central and Eastern Europe,Europe,6255,0.045,6344,6167,10499,0.935,67906,0.773,-0.203,0.826,2430,1350,1065,0.612,0.476,0.056,0.073,2624
